@relation titanic-weka.filters.AllFilter-weka.filters.MultiFilter-Fweka.filters.AllFilter-S1-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.supervised.attribute.NominalToBinary-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute sex=female numeric
@attribute age numeric
@attribute sibsp numeric
@attribute fare numeric
@attribute class=Third numeric
@attribute class=First numeric
@attribute class=Second numeric
@attribute alive {no,yes}

@data
0,33,0,7.775,1,0,0,no
1,6,0,33,0,0,1,yes
0,17,1,7.0542,1,0,0,no
0,34,0,13,0,0,1,no
0,50,0,13,0,0,1,no
0,27,1,53.1,0,1,0,yes
0,20,0,8.6625,1,0,0,no
1,30,3,21,0,0,1,yes
1,?,0,7.7375,1,0,0,yes
0,25,1,26,0,0,1,no
1,25,1,7.925,1,0,0,no
1,29,0,211.3375,0,1,0,yes
0,11,0,18.7875,1,0,0,no
0,?,0,0,0,0,1,no
0,23,0,13,0,0,1,no
0,23,0,13,0,0,1,no
0,28.5,0,16.1,1,0,0,no
1,48,1,34.375,1,0,0,no
0,35,0,512.3292,0,1,0,yes
0,?,0,7.8958,1,0,0,no
0,?,0,7.8958,1,0,0,no
0,?,0,30,0,1,0,yes
0,36,1,78.85,0,1,0,no
1,21,2,262.375,0,1,0,yes
0,24,1,16.1,1,0,0,no
0,31,0,7.925,1,0,0,yes
0,70,1,71,0,1,0,no
0,16,1,20.25,1,0,0,no
1,30,0,13,0,0,1,yes
0,19,1,53.1,0,1,0,no
0,31,0,7.75,1,0,0,no
1,4,1,23,0,0,1,yes
0,6,0,12.475,1,0,0,yes
0,33,0,9.5,1,0,0,no
0,23,0,7.8958,1,0,0,no
1,48,1,65,0,0,1,yes
0,0.67,1,14.5,0,0,1,yes
0,28,0,7.7958,1,0,0,no
0,18,0,11.5,0,0,1,no
0,34,0,8.05,1,0,0,no
1,33,0,86.5,0,1,0,yes
0,?,0,14.5,1,0,0,no
0,41,0,7.125,1,0,0,no
0,20,0,7.2292,1,0,0,yes
1,36,1,120,0,1,0,yes
0,16,0,7.775,1,0,0,no
1,51,1,77.9583,0,1,0,yes
0,?,0,39.6,0,1,0,no
1,30.5,0,7.75,1,0,0,no
0,?,1,24.15,1,0,0,no
0,32,0,8.3625,1,0,0,no
0,24,0,9.5,1,0,0,no
0,48,0,7.8542,1,0,0,no
1,57,0,10.5,0,0,1,no
0,?,0,7.225,1,0,0,no
1,54,1,23,0,0,1,yes
0,18,0,7.75,1,0,0,no
0,?,0,7.75,1,0,0,no
1,5,0,12.475,1,0,0,yes
0,?,0,7.7375,1,0,0,no
1,43,0,211.3375,0,1,0,yes
1,13,0,7.2292,1,0,0,yes
1,17,1,57,0,1,0,yes
0,29,0,30,0,1,0,no
0,?,1,23.45,1,0,0,no
0,25,0,7.05,1,0,0,no
0,25,0,7.25,1,0,0,no
1,18,0,7.4958,1,0,0,yes
0,8,4,29.125,1,0,0,no
0,1,1,20.575,1,0,0,yes
0,46,0,79.2,0,1,0,no
0,?,0,7.75,1,0,0,no
0,16,0,26,0,0,1,no
1,?,8,69.55,1,0,0,no
0,?,0,30.6958,0,1,0,no
0,25,0,7.8958,1,0,0,no
0,39,0,13,0,0,1,no
1,49,0,25.9292,0,1,0,yes
1,31,0,8.6833,1,0,0,yes
0,30,0,7.2292,1,0,0,no
1,30,1,24.15,1,0,0,no
0,34,0,13,0,0,1,no
1,31,1,26.25,0,0,1,yes
0,11,1,120,0,1,0,yes
0,0.42,0,8.5167,1,0,0,yes
0,27,0,6.975,1,0,0,yes
0,31,0,7.775,1,0,0,no
0,39,0,0,0,1,0,no
1,18,0,7.775,1,0,0,no
0,39,0,13,0,0,1,no
1,33,1,53.1,0,1,0,yes
0,26,0,7.8875,1,0,0,no
0,39,0,24.15,1,0,0,no
0,35,0,10.5,0,0,1,no
1,6,4,31.275,1,0,0,no
0,30.5,0,8.05,1,0,0,no
0,?,0,0,0,1,0,no
1,23,0,7.925,1,0,0,no
0,31,1,37.0042,0,0,1,no
0,43,0,6.45,1,0,0,no
0,10,3,27.9,1,0,0,no
1,52,1,93.5,0,1,0,yes
0,27,0,8.6625,1,0,0,yes
0,38,0,0,0,1,0,no
1,27,0,12.475,1,0,0,yes
0,2,4,39.6875,1,0,0,no
0,?,0,6.95,1,0,0,no
0,?,0,56.4958,1,0,0,no
0,1,0,37.0042,0,0,1,yes
0,?,0,7.75,1,0,0,yes
1,62,0,80,0,1,0,yes
1,15,1,14.4542,1,0,0,yes
0,0.83,1,18.75,0,0,1,yes
0,?,0,7.2292,1,0,0,no
0,23,0,7.8542,1,0,0,no
0,18,0,8.3,1,0,0,no
1,39,1,83.1583,0,1,0,yes
0,21,0,8.6625,1,0,0,no
0,?,0,8.05,1,0,0,no
0,32,0,56.4958,1,0,0,yes
0,?,0,29.7,0,1,0,yes
0,20,0,7.925,1,0,0,no
0,16,0,10.5,0,0,1,no
1,30,0,31,0,1,0,yes
0,34.5,0,6.4375,1,0,0,no
0,17,0,8.6625,1,0,0,no
0,42,0,7.55,1,0,0,no
0,?,8,69.55,1,0,0,no
0,35,0,7.8958,1,0,0,no
0,28,0,33,0,0,1,no
1,?,1,89.1042,0,1,0,yes
0,4,4,31.275,1,0,0,no
0,74,0,7.775,1,0,0,no
1,9,1,15.2458,1,0,0,no
1,16,0,39.4,0,1,0,yes
1,44,1,26,0,0,1,no
1,18,0,9.35,1,0,0,yes
1,45,1,164.8667,0,1,0,yes
0,51,0,26.55,0,1,0,yes
1,24,0,19.2583,1,0,0,yes
0,?,0,7.2292,1,0,0,no
0,41,2,14.1083,1,0,0,no
0,21,1,11.5,0,0,1,no
1,48,0,25.9292,0,1,0,yes
1,?,8,69.55,1,0,0,no
0,24,0,13,0,0,1,no
1,42,0,13,0,0,1,yes
1,27,1,13.8583,0,0,1,yes
0,31,0,50.4958,0,1,0,no
0,?,0,9.5,1,0,0,no
0,4,1,11.1333,1,0,0,yes
0,26,0,7.8958,1,0,0,no
1,47,1,52.5542,0,1,0,yes
0,33,0,5,0,1,0,no
0,47,0,9,1,0,0,no
1,28,1,24,0,0,1,yes
1,15,0,7.225,1,0,0,yes
0,20,0,9.8458,1,0,0,no
0,19,0,7.8958,1,0,0,no
0,?,0,7.8958,1,0,0,no
1,56,0,83.1583,0,1,0,yes
1,25,0,26,0,0,1,yes
0,33,0,7.8958,1,0,0,no
1,22,0,10.5167,1,0,0,no
0,28,0,10.5,0,0,1,no
0,25,0,7.05,1,0,0,no
1,39,0,29.125,1,0,0,no
0,27,0,13,0,0,1,no
1,19,0,30,0,1,0,yes
1,?,1,23.45,1,0,0,no
0,26,0,30,0,1,0,yes
0,32,0,7.75,1,0,0,no
