pclass,sex=female,age,fare,survived
3,0,?,7.75,1
3,0,?,24.15,0
3,0,?,7.2292,0
3,0,25,7.225,0
3,0,?,7.225,0
3,0,?,7.7292,0
3,0,?,7.575,0
3,0,38.5,7.25,0
3,0,?,69.55,0
3,0,14.5,69.55,0
3,1,?,69.55,0
3,1,?,69.55,0
3,1,?,69.55,0
3,1,?,69.55,0
3,0,?,69.55,0
3,0,?,69.55,0
3,0,?,69.55,0
3,0,?,69.55,0
3,1,?,69.55,0
3,0,24,9.325,0
3,1,21,7.65,1
3,0,39,7.925,0
3,0,?,21.6792,0
3,0,?,21.6792,0
3,0,?,21.6792,0
3,1,1,16.7,1
3,1,24,16.7,1
3,1,4,16.7,1
3,0,25,9.5,1
3,0,20,8.05,0
3,0,24.5,8.05,0
3,0,?,7.725,0
3,0,?,7.8958,0
3,0,?,7.75,0
3,0,29,9.5,1
3,0,?,15.1,0
3,1,?,7.7792,1
3,0,?,8.05,0
3,0,?,8.05,0
3,0,22,7.2292,0
3,0,?,8.05,0
3,0,40,7.8958,0
3,0,21,7.925,0
3,1,18,7.4958,1
3,0,4,27.9,0
3,0,10,27.9,0
3,1,9,27.9,0
3,1,2,27.9,0
3,0,40,27.9,0
3,1,45,27.9,0
3,0,?,7.8958,0
3,0,?,8.05,0
3,0,?,8.6625,0
3,0,?,7.75,0
3,1,?,7.7333,1
3,0,19,7.65,0
3,0,30,8.05,0
3,0,?,8.05,0
3,0,32,8.05,0
3,0,?,7.8958,0
3,0,33,8.6625,0
3,1,23,7.55,1
3,0,21,8.05,0
3,0,60.5,?,0
3,0,19,7.8958,0
3,1,22,9.8375,0
3,0,31,7.925,1
3,0,27,8.6625,0
3,1,2,10.4625,0
3,1,29,10.4625,0
3,0,16,8.05,1
3,0,44,7.925,1
3,0,25,7.05,0
3,0,74,7.775,0
3,0,14,9.225,1
3,0,24,7.7958,0
3,0,25,7.7958,1
3,0,34,8.05,0
3,0,0.4167,8.5167,1
3,0,?,6.4375,0
3,0,?,6.4375,0
3,0,?,7.225,0
3,1,16,8.5167,1
3,0,?,8.05,0
3,0,?,16.1,0
3,1,?,16.1,1
3,0,32,7.925,0
3,0,?,7.75,0
3,0,?,7.8958,0
3,0,30.5,8.05,0
3,0,44,8.05,0
3,0,?,7.2292,0
3,0,25,0,1
3,0,?,7.2292,0
3,0,7,15.2458,1
3,1,9,15.2458,1
3,1,29,15.2458,1
3,0,36,7.8958,0
3,1,18,9.8417,1
3,1,63,9.5875,1
3,0,?,14.5,0
3,0,11.5,14.5,0
3,0,40.5,14.5,0
3,1,10,24.15,0
3,0,36,24.15,0
3,1,30,24.15,0
3,0,?,9.5,0
3,0,33,9.5,0
3,0,28,9.5,0
3,0,28,9.5,0
3,0,47,9,0
3,1,18,18,0
3,0,31,18,0
3,0,16,18,0
3,1,31,18,0
3,0,22,7.225,1
3,0,20,7.8542,0
3,1,14,7.8542,0
3,0,22,7.8958,0
3,0,22,9,0
3,0,?,8.05,0
3,0,?,7.55,0
3,0,?,8.05,0
3,0,32.5,9.5,0
3,1,38,7.2292,1
3,0,51,7.75,0
3,0,18,6.4958,0
3,0,21,6.4958,0
3,1,47,7,1
3,0,?,8.7125,0
3,0,?,7.55,0
3,0,?,8.05,0
3,0,28.5,16.1,0
3,0,21,7.25,0
3,0,27,8.6625,0
3,0,?,7.25,0
3,0,36,9.5,0
3,0,27,14.4542,0
3,1,15,14.4542,1
3,0,45.5,7.225,0
3,0,?,7.225,0
3,0,?,14.4583,0
3,1,14.5,14.4542,0
3,1,?,14.4542,0
3,0,26.5,7.225,0
3,0,27,7.225,0
3,0,29,7.875,0
