sex,age,sibsp,parch,fare,class,who,adult_male,alive
male,32,0,0,7.8542,Third,man,TRUE,yes
male,62,0,0,10.5,Second,man,TRUE,yes
female,53,2,0,51.4792,First,woman,FALSE,yes
male,36,0,0,26.3875,First,man,TRUE,yes
female,29,0,0,7.75,Third,woman,FALSE,yes
male,16,0,0,8.05,Third,man,TRUE,no
male,19,0,0,14.5,Third,man,TRUE,no
female,34,0,0,13,Second,woman,FALSE,yes
female,39,1,0,55.9,First,woman,FALSE,yes
female,29,1,0,14.4583,Third,woman,FALSE,no
male,32,0,0,7.925,Third,man,TRUE,yes
female,25,1,1,30,Second,woman,FALSE,yes
female,39,1,1,110.8833,First,woman,FALSE,yes
male,54,0,0,26,Second,man,TRUE,no
male,36,0,0,40.125,First,man,TRUE,no
male,29,0,0,8.7125,Third,man,TRUE,no
female,18,0,2,79.65,First,woman,FALSE,yes
male,47,0,0,15,Second,man,TRUE,no
male,60,1,1,79.2,First,man,TRUE,yes
male,22,0,0,8.05,Third,man,TRUE,no
male,29,0,0,8.05,Third,man,TRUE,no
male,35,0,0,7.125,Third,man,TRUE,no
female,52,1,0,78.2667,First,woman,FALSE,yes
male,47,0,0,7.25,Third,man,TRUE,no
female,29,0,2,7.75,Third,woman,FALSE,no
male,37,1,0,26,Second,man,TRUE,no
male,36,1,1,24.15,Third,man,TRUE,no
female,29,0,0,33,Second,woman,FALSE,yes
male,49,0,0,0,Third,man,TRUE,no
male,29,0,0,7.225,Third,man,TRUE,no
male,49,1,0,56.9292,First,man,TRUE,yes
female,24,2,1,27,Second,woman,FALSE,yes
male,29,0,0,7.8958,Third,man,TRUE,no
male,29,0,0,42.4,First,man,TRUE,no
male,44,0,0,8.05,Third,man,TRUE,no
male,35,0,0,26.55,First,man,TRUE,yes
male,36,1,0,15.55,Third,man,TRUE,no
male,30,0,0,7.8958,Third,man,TRUE,no
male,27,0,0,30.5,First,man,TRUE,yes
female,22,1,2,41.5792,Second,woman,FALSE,yes
female,40,0,0,153.4625,First,woman,FALSE,yes
female,39,1,5,31.275,Third,woman,FALSE,no
male,29,0,0,7.05,Third,man,TRUE,no
female,29,1,0,15.5,Third,woman,FALSE,yes
male,29,0,0,7.75,Third,man,TRUE,no
male,35,0,0,8.05,Third,man,TRUE,no
female,24,1,2,65,Second,woman,FALSE,yes
male,34,1,1,14.4,Third,man,TRUE,no
female,26,1,0,16.1,Third,woman,FALSE,no
female,4,2,1,39,Second,child,FALSE,yes
male,26,0,0,10.5,Second,man,TRUE,no
male,27,1,0,14.4542,Third,man,TRUE,no
male,42,1,0,52.5542,First,man,TRUE,yes
male,20,1,1,15.7417,Third,man,TRUE,yes
male,21,0,0,7.8542,Third,man,TRUE,no
male,21,0,0,16.1,Third,man,TRUE,no
male,61,0,0,32.3208,First,man,TRUE,no
male,57,0,0,12.35,Second,man,TRUE,no
female,21,0,0,77.9583,First,woman,FALSE,yes
male,26,0,0,7.8958,Third,man,TRUE,no
male,29,0,0,7.7333,Third,man,TRUE,no
male,80,0,0,30,First,man,TRUE,yes
male,51,0,0,7.0542,Third,man,TRUE,no
male,32,0,0,30.5,First,man,TRUE,yes
male,29,0,0,0,First,man,TRUE,no
female,9,3,2,27.9,Third,child,FALSE,no
female,28,0,0,13,Second,woman,FALSE,yes
male,32,0,0,7.925,Third,man,TRUE,no
male,31,1,1,26.25,Second,man,TRUE,no
female,41,0,5,39.6875,Third,woman,FALSE,no
male,29,1,0,16.1,Third,man,TRUE,no
male,20,0,0,7.8542,Third,man,TRUE,no
female,24,0,0,69.3,First,woman,FALSE,yes
female,2,3,2,27.9,Third,child,FALSE,no
male,29,0,0,56.4958,Third,man,TRUE,yes
female,0.75,2,1,19.2583,Third,child,FALSE,yes
male,48,1,0,76.7292,First,man,TRUE,yes
male,19,0,0,7.8958,Third,man,TRUE,no
male,56,0,0,35.5,First,man,TRUE,yes
male,29,0,0,7.55,Third,man,TRUE,no
female,23,0,0,7.55,Third,woman,FALSE,yes
male,29,0,0,7.8958,Third,man,TRUE,no
female,18,0,1,23,Second,woman,FALSE,yes
male,21,0,0,8.4333,Third,man,TRUE,no
female,29,0,0,7.8292,Third,woman,FALSE,yes
female,18,0,0,6.75,Third,woman,FALSE,no
male,24,2,0,73.5,Second,man,TRUE,no
male,29,0,0,7.8958,Third,man,TRUE,no
female,32,1,1,15.5,Third,woman,FALSE,no
male,23,0,0,13,Second,man,TRUE,no
male,58,0,2,113.275,First,man,TRUE,no
male,50,2,0,133.65,First,man,TRUE,yes
male,40,0,0,7.225,Third,man,TRUE,no
male,47,0,0,25.5875,First,man,TRUE,no
male,36,0,0,7.4958,Third,man,TRUE,no
male,20,1,0,7.925,Third,man,TRUE,yes
male,32,2,0,73.5,Second,man,TRUE,no
male,25,0,0,13,Second,man,TRUE,no
male,29,0,0,7.775,Third,man,TRUE,no
male,43,0,0,8.05,Third,man,TRUE,no
female,29,1,0,52,First,woman,FALSE,yes
female,40,1,1,39,Second,woman,FALSE,yes
male,31,1,0,52,First,man,TRUE,no
male,70,0,0,10.5,Second,man,TRUE,no
male,31,0,0,13,Second,man,TRUE,yes
male,29,0,0,0,Second,man,TRUE,no
male,18,0,0,7.775,Third,man,TRUE,no
male,24.5,0,0,8.05,Third,man,TRUE,no
female,18,0,0,9.8417,Third,woman,FALSE,yes
female,43,1,6,46.9,Third,woman,FALSE,no
male,36,0,1,512.3292,First,man,TRUE,yes
female,29,0,0,8.1375,Third,woman,FALSE,no
male,27,0,0,76.7292,First,man,TRUE,yes
male,20,0,0,9.225,Third,man,TRUE,no
male,14,5,2,46.9,Third,child,FALSE,no
male,60,1,1,39,Second,man,TRUE,no
male,25,1,2,41.5792,Second,man,TRUE,no
male,14,4,1,39.6875,Third,child,FALSE,no
male,19,0,0,10.1708,Third,man,TRUE,no
male,18,0,0,7.7958,Third,man,TRUE,no
female,15,0,1,211.3375,First,child,FALSE,yes
male,31,1,0,57,First,man,TRUE,yes
female,4,0,1,13.4167,Third,child,FALSE,yes
male,29,0,0,56.4958,Third,man,TRUE,yes
male,25,0,0,7.225,Third,man,TRUE,no
male,60,0,0,26.55,First,man,TRUE,no
male,52,0,0,13.5,Second,man,TRUE,no
male,44,0,0,8.05,Third,man,TRUE,no
female,29,0,0,7.7333,Third,woman,FALSE,yes
male,49,1,1,110.8833,First,man,TRUE,no
male,42,0,0,7.65,Third,man,TRUE,no
female,18,1,0,227.525,First,woman,FALSE,yes
male,35,0,0,26.2875,First,man,TRUE,yes
female,18,0,1,14.4542,Third,woman,FALSE,no
male,25,0,0,7.7417,Third,man,TRUE,no
male,26,1,0,7.8542,Third,man,TRUE,no
male,39,0,0,26,Second,man,TRUE,no
female,45,0,0,13.5,Second,woman,FALSE,yes
male,42,0,0,26.2875,First,man,TRUE,yes
female,22,0,0,151.55,First,woman,FALSE,yes
male,29,1,1,15.2458,Third,man,TRUE,yes
female,24,0,0,49.5042,First,woman,FALSE,yes
male,29,0,0,26.55,First,man,TRUE,no
male,48,1,0,52,First,man,TRUE,yes
male,29,0,0,9.4833,Third,man,TRUE,no
male,52,0,0,13,Second,man,TRUE,no
male,19,0,0,7.65,Third,man,TRUE,no
female,38,0,0,227.525,First,woman,FALSE,yes
female,27,0,0,10.5,Second,woman,FALSE,yes
male,29,0,0,15.5,Third,man,TRUE,no
male,33,0,0,7.775,Third,man,TRUE,no
female,6,0,1,33,Second,child,FALSE,yes
male,17,1,0,7.0542,Third,man,TRUE,no
male,34,0,0,13,Second,man,TRUE,no
male,50,0,0,13,Second,man,TRUE,no
male,27,1,0,53.1,First,man,TRUE,yes
male,20,0,0,8.6625,Third,man,TRUE,no
female,30,3,0,21,Second,woman,FALSE,yes
female,29,0,0,7.7375,Third,woman,FALSE,yes
male,25,1,0,26,Second,man,TRUE,no
female,25,1,0,7.925,Third,woman,FALSE,no
female,29,0,0,211.3375,First,woman,FALSE,yes
male,11,0,0,18.7875,Third,child,FALSE,no
male,29,0,0,0,Second,man,TRUE,no
male,23,0,0,13,Second,man,TRUE,no
male,23,0,0,13,Second,man,TRUE,no
male,28.5,0,0,16.1,Third,man,TRUE,no
female,48,1,3,34.375,Third,woman,FALSE,no
male,35,0,0,512.3292,First,man,TRUE,yes
male,29,0,0,7.8958,Third,man,TRUE,no
male,29,0,0,7.8958,Third,man,TRUE,no
male,29,0,0,30,First,man,TRUE,yes
male,36,1,0,78.85,First,man,TRUE,no
female,21,2,2,262.375,First,woman,FALSE,yes
male,24,1,0,16.1,Third,man,TRUE,no
male,31,0,0,7.925,Third,man,TRUE,yes
male,70,1,1,71,First,man,TRUE,no
male,16,1,1,20.25,Third,man,TRUE,no
female,30,0,0,13,Second,woman,FALSE,yes
male,19,1,0,53.1,First,man,TRUE,no
male,31,0,0,7.75,Third,man,TRUE,no
female,4,1,1,23,Second,child,FALSE,yes
male,6,0,1,12.475,Third,child,FALSE,yes
male,33,0,0,9.5,Third,man,TRUE,no
male,23,0,0,7.8958,Third,man,TRUE,no
female,48,1,2,65,Second,woman,FALSE,yes
male,0.67,1,1,14.5,Second,child,FALSE,yes
male,28,0,0,7.7958,Third,man,TRUE,no
male,18,0,0,11.5,Second,man,TRUE,no
male,34,0,0,8.05,Third,man,TRUE,no
female,33,0,0,86.5,First,woman,FALSE,yes
male,29,0,0,14.5,Third,man,TRUE,no
male,41,0,0,7.125,Third,man,TRUE,no
male,20,0,0,7.2292,Third,man,TRUE,yes
female,36,1,2,120,First,woman,FALSE,yes
male,16,0,0,7.775,Third,man,TRUE,no
female,51,1,0,77.9583,First,woman,FALSE,yes
male,29,0,0,39.6,First,man,TRUE,no
female,30.5,0,0,7.75,Third,woman,FALSE,no
male,29,1,0,24.15,Third,man,TRUE,no
male,32,0,0,8.3625,Third,man,TRUE,no
male,24,0,0,9.5,Third,man,TRUE,no
male,48,0,0,7.8542,Third,man,TRUE,no
female,57,0,0,10.5,Second,woman,FALSE,no
male,29,0,0,7.225,Third,man,TRUE,no
female,54,1,3,23,Second,woman,FALSE,yes
male,18,0,0,7.75,Third,man,TRUE,no
male,29,0,0,7.75,Third,man,TRUE,no
female,5,0,0,12.475,Third,child,FALSE,yes
male,29,0,0,7.7375,Third,man,TRUE,no
female,43,0,1,211.3375,First,woman,FALSE,yes
female,13,0,0,7.2292,Third,child,FALSE,yes
female,17,1,0,57,First,woman,FALSE,yes
male,29,0,0,30,First,man,TRUE,no
male,29,1,2,23.45,Third,man,TRUE,no
male,25,0,0,7.05,Third,man,TRUE,no
male,25,0,0,7.25,Third,man,TRUE,no
female,18,0,0,7.4958,Third,woman,FALSE,yes
male,8,4,1,29.125,Third,child,FALSE,no
male,1,1,2,20.575,Third,child,FALSE,yes
male,46,0,0,79.2,First,man,TRUE,no
male,29,0,0,7.75,Third,man,TRUE,no
male,16,0,0,26,Second,man,TRUE,no
female,29,8,2,69.55,Third,woman,FALSE,no
male,29,0,0,30.6958,First,man,TRUE,no
male,25,0,0,7.8958,Third,man,TRUE,no
male,39,0,0,13,Second,man,TRUE,no
female,49,0,0,25.9292,First,woman,FALSE,yes
female,31,0,0,8.6833,Third,woman,FALSE,yes
male,30,0,0,7.2292,Third,man,TRUE,no
female,30,1,1,24.15,Third,woman,FALSE,no
male,34,0,0,13,Second,man,TRUE,no
female,31,1,1,26.25,Second,woman,FALSE,yes
male,11,1,2,120,First,child,FALSE,yes
male,0.42,0,1,8.5167,Third,child,FALSE,yes
male,27,0,0,6.975,Third,man,TRUE,yes
male,31,0,0,7.775,Third,man,TRUE,no
male,39,0,0,0,First,man,TRUE,no
female,18,0,0,7.775,Third,woman,FALSE,no
male,39,0,0,13,Second,man,TRUE,no
female,33,1,0,53.1,First,woman,FALSE,yes
male,26,0,0,7.8875,Third,man,TRUE,no
male,39,0,0,24.15,Third,man,TRUE,no
male,35,0,0,10.5,Second,man,TRUE,no
female,6,4,2,31.275,Third,child,FALSE,no
male,30.5,0,0,8.05,Third,man,TRUE,no
male,29,0,0,0,First,man,TRUE,no
female,23,0,0,7.925,Third,woman,FALSE,no
male,31,1,1,37.0042,Second,man,TRUE,no
male,43,0,0,6.45,Third,man,TRUE,no
male,10,3,2,27.9,Third,child,FALSE,no
female,52,1,1,93.5,First,woman,FALSE,yes
male,27,0,0,8.6625,Third,man,TRUE,yes
male,38,0,0,0,First,man,TRUE,no
female,27,0,1,12.475,Third,woman,FALSE,yes
male,2,4,1,39.6875,Third,child,FALSE,no
male,29,0,0,6.95,Third,man,TRUE,no
male,29,0,0,56.4958,Third,man,TRUE,no
male,1,0,2,37.0042,Second,child,FALSE,yes
male,29,0,0,7.75,Third,man,TRUE,yes
female,62,0,0,80,First,woman,FALSE,yes
female,15,1,0,14.4542,Third,child,FALSE,yes
male,0.83,1,1,18.75,Second,child,FALSE,yes
male,29,0,0,7.2292,Third,man,TRUE,no
male,23,0,0,7.8542,Third,man,TRUE,no
male,18,0,0,8.3,Third,man,TRUE,no
female,39,1,1,83.1583,First,woman,FALSE,yes
male,21,0,0,8.6625,Third,man,TRUE,no
male,29,0,0,8.05,Third,man,TRUE,no
male,32,0,0,56.4958,Third,man,TRUE,yes
male,29,0,0,29.7,First,man,TRUE,yes
male,20,0,0,7.925,Third,man,TRUE,no
male,16,0,0,10.5,Second,man,TRUE,no
female,30,0,0,31,First,woman,FALSE,yes
male,34.5,0,0,6.4375,Third,man,TRUE,no
male,17,0,0,8.6625,Third,man,TRUE,no
male,42,0,0,7.55,Third,man,TRUE,no
male,29,8,2,69.55,Third,man,TRUE,no
male,35,0,0,7.8958,Third,man,TRUE,no
male,28,0,1,33,Second,man,TRUE,no
female,29,1,0,89.1042,First,woman,FALSE,yes
male,4,4,2,31.275,Third,child,FALSE,no
male,74,0,0,7.775,Third,man,TRUE,no
female,9,1,1,15.2458,Third,child,FALSE,no
female,16,0,1,39.4,First,woman,FALSE,yes
female,44,1,0,26,Second,woman,FALSE,no
female,18,0,1,9.35,Third,woman,FALSE,yes
female,45,1,1,164.8667,First,woman,FALSE,yes
male,51,0,0,26.55,First,man,TRUE,yes
female,24,0,3,19.2583,Third,woman,FALSE,yes
male,29,0,0,7.2292,Third,man,TRUE,no
male,41,2,0,14.1083,Third,man,TRUE,no
male,21,1,0,11.5,Second,man,TRUE,no
female,48,0,0,25.9292,First,woman,FALSE,yes
female,29,8,2,69.55,Third,woman,FALSE,no
male,24,0,0,13,Second,man,TRUE,no
female,42,0,0,13,Second,woman,FALSE,yes
female,27,1,0,13.8583,Second,woman,FALSE,yes
male,31,0,0,50.4958,First,man,TRUE,no
male,29,0,0,9.5,Third,man,TRUE,no
male,4,1,1,11.1333,Third,child,FALSE,yes
male,26,0,0,7.8958,Third,man,TRUE,no
female,47,1,1,52.5542,First,woman,FALSE,yes
male,33,0,0,5,First,man,TRUE,no
male,47,0,0,9,Third,man,TRUE,no
female,28,1,0,24,Second,woman,FALSE,yes
female,15,0,0,7.225,Third,child,FALSE,yes
male,20,0,0,9.8458,Third,man,TRUE,no
male,19,0,0,7.8958,Third,man,TRUE,no
male,29,0,0,7.8958,Third,man,TRUE,no
female,56,0,1,83.1583,First,woman,FALSE,yes
female,25,0,1,26,Second,woman,FALSE,yes
male,33,0,0,7.8958,Third,man,TRUE,no
female,22,0,0,10.5167,Third,woman,FALSE,no
male,28,0,0,10.5,Second,man,TRUE,no
male,25,0,0,7.05,Third,man,TRUE,no
female,39,0,5,29.125,Third,woman,FALSE,no
male,27,0,0,13,Second,man,TRUE,no
female,19,0,0,30,First,woman,FALSE,yes
female,29,1,2,23.45,Third,woman,FALSE,no
male,26,0,0,30,First,man,TRUE,yes
male,32,0,0,7.75,Third,man,TRUE,no
