@relation 'd-weka.filters.unsupervised.attribute.StringToNominal-R12,14-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace객실등급-R1-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:1등급,2:2등급,3:3등급-weka.filters.unsupervised.attribute.RenameNominalValues-R2-N1:구조,0:사망-weka.filters.unsupervised.attribute.Remove-R10,13-14-weka.filters.unsupervised.attribute.Reorder-R1,3-last,2-weka.filters.unsupervised.attribute.StringToNominal-R2,7-weka.filters.unsupervised.attribute.Remove-R2-3,5-7,9'

@attribute 객실등급 {1등급,2등급,3등급}
@attribute 나이 numeric
@attribute 요금 numeric
@attribute 구명정번호 {2,11,3,10,D,4,9,6,B,8,A,5,7,C,14,'5 9',13,1,15,'5 7','8 10',12,16,'13 15 B','C D','15 16','13 15'}
@attribute 구조여부 {사망,구조}

@data
3등급,25,7.925,?,사망
3등급,?,7.8958,?,사망
3등급,29,7.8958,15,구조
3등급,21,7.7958,A,구조
3등급,?,7.05,?,사망
3등급,20,7.8542,?,사망
3등급,48,7.8542,?,사망
3등급,17,7.0542,?,사망
3등급,?,7.75,D,구조
3등급,?,8.1125,13,구조
3등급,34,6.4958,?,사망
3등급,26,7.775,15,구조
3등급,22,7.7958,?,사망
3등급,33,8.6542,?,사망
3등급,31,7.775,?,사망
3등급,29,7.8542,?,사망
3등급,4,11.1333,15,구조
3등급,1,11.1333,15,구조
3등급,49,0,?,사망
3등급,33,7.775,?,사망
3등급,19,0,?,사망
3등급,27,11.1333,15,구조
3등급,?,23.45,?,사망
3등급,?,23.45,?,사망
3등급,?,23.45,?,사망
3등급,?,23.45,?,사망
3등급,23,7.8958,?,사망
3등급,32,7.8542,15,구조
3등급,27,7.8542,?,사망
3등급,20,9.825,?,사망
3등급,21,9.825,?,사망
3등급,32,7.925,15,구조
3등급,17,7.125,?,사망
3등급,21,8.4333,?,사망
3등급,30,7.8958,?,사망
3등급,21,7.7958,13,구조
3등급,33,7.8542,?,사망
3등급,22,7.5208,?,사망
3등급,4,13.4167,15,구조
3등급,39,13.4167,15,구조
3등급,?,7.2292,?,사망
3등급,18.5,7.2292,?,사망
3등급,?,7.75,?,사망
3등급,?,7.25,A,사망
3등급,?,7.75,16,구조
3등급,?,7.75,D,구조
3등급,34.5,7.8292,?,사망
3등급,44,8.05,?,사망
3등급,?,7.75,?,구조
3등급,?,14.4542,?,사망
3등급,?,14.4542,?,사망
3등급,?,7.75,?,사망
3등급,?,7.75,?,사망
3등급,?,7.7375,?,사망
3등급,22,8.6625,?,사망
3등급,26,8.6625,?,사망
3등급,4,22.025,2,구조
3등급,29,22.025,2,구조
3등급,26,22.025,2,구조
3등급,1,12.1833,?,사망
3등급,18,7.8542,?,사망
3등급,36,12.1833,?,사망
3등급,?,7.8958,?,사망
3등급,25,7.2292,10,구조
3등급,?,7.225,?,사망
3등급,37,9.5875,?,사망
3등급,?,7.8958,?,사망
3등급,?,56.4958,C,구조
3등급,?,56.4958,?,사망
3등급,22,7.25,13,구조
3등급,?,7.75,?,사망
3등급,26,56.4958,14,구조
3등급,29,9.4833,?,사망
3등급,29,7.775,?,사망
3등급,22,7.775,?,사망
3등급,22,7.225,6,구조
3등급,?,25.4667,?,사망
3등급,?,25.4667,?,사망
3등급,?,25.4667,?,사망
3등급,?,25.4667,?,사망
3등급,?,25.4667,?,사망
3등급,32,7.925,?,사망
3등급,34.5,6.4375,?,사망
3등급,?,15.5,?,사망
3등급,?,15.5,?,사망
3등급,36,0,?,사망
3등급,39,24.15,?,사망
3등급,24,9.5,?,사망
3등급,25,7.775,?,사망
3등급,45,7.75,?,사망
3등급,36,15.55,A,사망
3등급,30,15.55,A,사망
3등급,20,7.925,15,구조
3등급,?,7.8792,?,사망
3등급,28,56.4958,?,사망
3등급,?,7.55,?,사망
3등급,30,16.1,?,사망
3등급,26,16.1,?,사망
3등급,?,7.8792,?,사망
3등급,20.5,7.25,?,사망
3등급,27,8.6625,15,구조
3등급,51,7.0542,?,사망
3등급,23,7.8542,10,구조
3등급,32,7.5792,15,구조
3등급,?,7.8958,?,사망
3등급,?,7.55,?,사망
3등급,?,7.75,15,구조
3등급,24,7.1417,13,구조
3등급,22,7.125,?,사망
3등급,?,7.8792,?,사망
3등급,?,7.75,?,사망
3등급,?,8.05,?,사망
3등급,29,7.925,?,사망
3등급,?,7.2292,15,구조
3등급,30.5,7.75,?,사망
3등급,?,7.7375,16,구조
3등급,?,7.2292,?,사망
3등급,35,7.8958,?,사망
3등급,33,7.8958,?,사망
3등급,?,7.225,C,구조
3등급,?,7.8958,?,사망
3등급,?,7.75,'15 16',구조
3등급,?,7.75,?,구조
3등급,?,23.25,16,구조
3등급,?,23.25,16,구조
3등급,?,23.25,16,구조
3등급,?,7.7875,13,구조
3등급,?,15.5,?,사망
3등급,?,7.8792,13,구조
3등급,15,8.0292,?,구조
3등급,35,7.75,?,사망
3등급,?,7.75,?,사망
3등급,24,16.1,?,사망
3등급,19,16.1,?,사망
3등급,?,7.75,?,사망
3등급,?,8.05,?,사망
3등급,?,8.05,?,사망
3등급,55.5,8.05,?,사망
3등급,?,7.75,?,사망
3등급,21,7.775,15,구조
3등급,?,8.05,?,사망
3등급,24,7.8958,?,사망
3등급,21,7.8958,?,사망
3등급,28,7.8958,?,사망
3등급,?,7.8958,?,사망
3등급,?,7.8792,16,구조
3등급,25,7.65,?,사망
3등급,6,12.475,14,구조
3등급,27,12.475,14,구조
3등급,?,8.05,?,사망
3등급,?,24.15,16,구조
3등급,?,24.15,?,사망
3등급,?,8.4583,?,사망
3등급,34,8.05,?,사망
3등급,?,7.75,?,사망
3등급,?,7.775,B,구조
3등급,?,15.2458,C,구조
3등급,?,15.2458,C,구조
3등급,?,15.2458,C,구조
3등급,?,7.2292,?,구조
3등급,?,8.05,?,사망
3등급,?,7.7333,16,구조
3등급,24,7.75,15,구조
3등급,?,8.05,?,사망
3등급,?,15.5,16,구조
3등급,?,15.5,16,구조
3등급,?,15.5,16,구조
3등급,18,7.75,?,사망
3등급,22,7.8958,?,사망
3등급,15,7.225,C,구조
3등급,1,15.7417,C,구조
3등급,20,15.7417,C,구조
3등급,19,15.7417,C,구조
3등급,33,8.05,?,사망
3등급,?,7.8958,?,사망
3등급,?,7.2292,?,사망
3등급,?,7.75,?,사망
3등급,?,7.8958,?,사망
3등급,12,11.2417,C,구조
3등급,14,11.2417,C,구조
3등급,29,7.925,?,사망
3등급,28,8.05,?,사망
3등급,18,7.775,D,구조
3등급,26,7.8542,13,구조
3등급,21,7.8542,?,사망
3등급,41,7.125,?,사망
3등급,39,7.925,9,구조
3등급,21,7.8,?,사망
3등급,28.5,7.2292,?,사망
3등급,22,7.75,13,구조
3등급,61,6.2375,?,사망
3등급,?,15.5,?,사망
3등급,?,7.8292,?,사망
3등급,?,15.5,?,구조
3등급,?,7.7333,?,사망
3등급,?,7.75,?,사망
3등급,?,7.75,?,사망
3등급,23,9.225,?,사망
3등급,?,7.75,?,사망
3등급,?,7.75,D,구조
3등급,?,7.8792,?,구조
3등급,22,7.775,C,구조
3등급,?,7.75,B,구조
3등급,?,7.8292,13,구조
3등급,9,3.1708,13,구조
3등급,28,22.525,?,사망
3등급,42,8.4042,?,사망
3등급,?,7.3125,?,사망
3등급,31,7.8542,?,사망
3등급,28,7.8542,?,사망
3등급,32,7.775,A,구조
3등급,20,9.225,?,사망
3등급,23,8.6625,?,사망
3등급,20,8.6625,?,사망
3등급,20,8.6625,?,사망
3등급,16,9.2167,?,사망
3등급,31,8.6833,?,구조
3등급,?,7.6292,?,사망
3등급,2,21.075,?,사망
3등급,6,21.075,?,사망
3등급,3,21.075,?,사망
3등급,8,21.075,?,사망
3등급,29,21.075,?,사망
3등급,1,39.6875,?,사망
3등급,7,39.6875,?,사망
3등급,2,39.6875,?,사망
3등급,16,39.6875,?,사망
3등급,14,39.6875,?,사망
3등급,41,39.6875,?,사망
3등급,21,8.6625,?,사망
3등급,19,14.5,?,사망
3등급,?,8.7125,?,사망
3등급,32,7.8958,?,사망
3등급,0.75,13.775,?,사망
3등급,3,13.775,?,사망
3등급,26,13.775,?,사망
3등급,?,7,?,사망
3등급,?,7.775,?,사망
3등급,?,8.05,?,사망
3등급,21,7.925,?,사망
3등급,25,7.925,?,사망
3등급,22,7.25,?,사망
3등급,25,7.775,15,구조
3등급,?,22.3583,C,구조
3등급,?,22.3583,D,구조
3등급,?,22.3583,D,구조
3등급,?,8.1375,?,사망
3등급,24,8.05,?,사망
3등급,28,7.8958,?,사망
3등급,19,7.8958,?,사망
3등급,?,7.8958,?,사망
3등급,25,7.775,?,사망
3등급,18,7.775,?,사망
3등급,32,8.05,9,구조
3등급,?,7.8958,?,사망
3등급,17,8.6625,?,사망
3등급,24,8.6625,?,사망
3등급,?,7.8958,?,사망
3등급,?,8.1125,?,사망
3등급,?,7.2292,?,사망
3등급,?,7.25,?,사망
3등급,38,7.8958,?,사망
3등급,21,8.05,?,사망
3등급,10,29.125,?,사망
3등급,4,29.125,?,사망
3등급,7,29.125,?,사망
3등급,2,29.125,?,사망
3등급,8,29.125,?,사망
3등급,39,29.125,?,사망
3등급,22,39.6875,?,사망
3등급,35,7.125,?,사망
3등급,?,7.7208,13,구조
3등급,?,14.5,?,사망
3등급,?,14.5,?,사망
3등급,50,14.5,?,사망
3등급,47,14.5,?,사망
3등급,?,8.05,?,사망
3등급,?,7.775,?,사망
3등급,2,20.2125,?,사망
3등급,18,20.2125,?,사망
3등급,41,20.2125,?,사망
3등급,?,8.05,C,구조
3등급,50,8.05,?,사망
3등급,16,8.05,?,사망
3등급,?,7.75,14,구조
3등급,?,24.15,?,사망
3등급,?,7.2292,?,사망
3등급,25,7.225,?,사망
3등급,?,7.225,?,사망
3등급,?,7.7292,?,사망
3등급,?,7.575,?,사망
3등급,38.5,7.25,?,사망
3등급,?,69.55,?,사망
3등급,14.5,69.55,?,사망
3등급,?,69.55,?,사망
3등급,?,69.55,?,사망
3등급,?,69.55,?,사망
3등급,?,69.55,?,사망
3등급,?,69.55,?,사망
3등급,?,69.55,?,사망
3등급,?,69.55,?,사망
3등급,?,69.55,?,사망
3등급,?,69.55,?,사망
3등급,24,9.325,?,사망
3등급,21,7.65,C,구조
3등급,39,7.925,?,사망
3등급,?,21.6792,?,사망
3등급,?,21.6792,?,사망
3등급,?,21.6792,?,사망
3등급,1,16.7,13,구조
3등급,24,16.7,13,구조
3등급,4,16.7,13,구조
3등급,25,9.5,11,구조
3등급,20,8.05,?,사망
3등급,24.5,8.05,?,사망
3등급,?,7.725,?,사망
3등급,?,7.8958,?,사망
3등급,?,7.75,?,사망
3등급,29,9.5,11,구조
3등급,?,15.1,?,사망
3등급,?,7.7792,?,구조
3등급,?,8.05,?,사망
3등급,?,8.05,?,사망
3등급,22,7.2292,?,사망
3등급,?,8.05,?,사망
3등급,40,7.8958,?,사망
3등급,21,7.925,?,사망
3등급,18,7.4958,16,구조
3등급,4,27.9,?,사망
3등급,10,27.9,?,사망
3등급,9,27.9,?,사망
3등급,2,27.9,?,사망
3등급,40,27.9,?,사망
3등급,45,27.9,?,사망
3등급,?,7.8958,?,사망
3등급,?,8.05,?,사망
3등급,?,8.6625,?,사망
3등급,?,7.75,?,사망
3등급,?,7.7333,13,구조
3등급,19,7.65,?,사망
3등급,30,8.05,?,사망
3등급,?,8.05,?,사망
3등급,32,8.05,?,사망
3등급,?,7.8958,?,사망
3등급,33,8.6625,?,사망
3등급,23,7.55,C,구조
3등급,21,8.05,?,사망
3등급,60.5,?,?,사망
3등급,19,7.8958,?,사망
3등급,22,9.8375,?,사망
3등급,31,7.925,9,구조
3등급,27,8.6625,?,사망
3등급,2,10.4625,?,사망
3등급,29,10.4625,?,사망
3등급,16,8.05,B,구조
3등급,44,7.925,15,구조
3등급,25,7.05,?,사망
3등급,74,7.775,?,사망
3등급,14,9.225,13,구조
3등급,24,7.7958,?,사망
3등급,25,7.7958,'13 15',구조
3등급,34,8.05,?,사망
3등급,0.4167,8.5167,16,구조
3등급,?,6.4375,?,사망
3등급,?,6.4375,?,사망
3등급,?,7.225,?,사망
3등급,16,8.5167,14,구조
3등급,?,8.05,?,사망
3등급,?,16.1,?,사망
3등급,?,16.1,10,구조
3등급,32,7.925,?,사망
3등급,?,7.75,?,사망
3등급,?,7.8958,?,사망
3등급,30.5,8.05,?,사망
3등급,44,8.05,?,사망
3등급,?,7.2292,?,사망
3등급,25,0,15,구조
3등급,?,7.2292,?,사망
3등급,7,15.2458,C,구조
3등급,9,15.2458,C,구조
3등급,29,15.2458,C,구조
3등급,36,7.8958,?,사망
3등급,18,9.8417,15,구조
3등급,63,9.5875,15,구조
3등급,?,14.5,?,사망
3등급,11.5,14.5,?,사망
3등급,40.5,14.5,?,사망
3등급,10,24.15,?,사망
3등급,36,24.15,?,사망
3등급,30,24.15,?,사망
3등급,?,9.5,?,사망
3등급,33,9.5,?,사망
3등급,28,9.5,?,사망
3등급,28,9.5,?,사망
3등급,47,9,?,사망
3등급,18,18,?,사망
3등급,31,18,?,사망
3등급,16,18,?,사망
3등급,31,18,?,사망
3등급,22,7.225,'13 15',구조
3등급,20,7.8542,?,사망
3등급,14,7.8542,?,사망
3등급,22,7.8958,?,사망
3등급,22,9,?,사망
3등급,?,8.05,?,사망
3등급,?,7.55,?,사망
3등급,?,8.05,?,사망
3등급,32.5,9.5,?,사망
3등급,38,7.2292,C,구조
3등급,51,7.75,?,사망
3등급,18,6.4958,?,사망
3등급,21,6.4958,?,사망
3등급,47,7,?,구조
3등급,?,8.7125,?,사망
3등급,?,7.55,?,사망
3등급,?,8.05,?,사망
3등급,28.5,16.1,?,사망
3등급,21,7.25,?,사망
3등급,27,8.6625,?,사망
3등급,?,7.25,?,사망
3등급,36,9.5,?,사망
3등급,27,14.4542,C,사망
3등급,15,14.4542,?,구조
3등급,45.5,7.225,?,사망
3등급,?,7.225,?,사망
3등급,?,14.4583,?,사망
3등급,14.5,14.4542,?,사망
3등급,?,14.4542,?,사망
3등급,26.5,7.225,?,사망
3등급,27,7.225,?,사망
3등급,29,7.875,?,사망
